"name","lang","country_id"
Afghanistan,1,1
Albania,1,2
Germany,1,3
Andorra,1,4
Angola,1,5
Antigua and Barbuda,1,6
Saudi Arabia,1,7
Algeria,1,8
Argentina,1,9
Armenia,1,10
Australia,1,11
Austria,1,12
Azerbaijan,1,13
Bahamas,1,14
Bangladesh,1,15
Barbados,1,16
Bahrain,1,17
Belgium,1,18
Belize,1,19
Benin,1,20
Belarus,1,21
Myanmar,1,22
Bolivia,1,23
Bosnia and Herzegovina,1,24
Botswana,1,25
Brazil,1,26
Brunei,1,27
Bulgaria,1,28
Burkina Faso,1,29
Burundi,1,30
Bhutan,1,31
Cape Verde,1,32
Cambodia,1,33
Cameroon,1,34
Canada,1,35
Qatar,1,36
Chad,1,37
Chile,1,38
China,1,39
Cyprus,1,40
Vatican City,1,41
Colombia,1,42
Comoros,1,43
North Korea,1,44
South Korea,1,45
Ivory Coast,1,46
Costa Rica,1,47
Croatia,1,48
Cuba,1,49
Denmark,1,50
Dominica,1,51
Ecuador,1,52
Egypt,1,53
El Salvador,1,54
United Arab Emirates,1,55
Eritrea,1,56
Slovakia,1,57
Slovenia,1,58
Spain,1,59
United States,1,60
Estonia,1,61
Ethiopia,1,62
Philippines,1,63
Finland,1,64
Fiji,1,65
France,1,66
Gabon,1,67
Gambia,1,68
Georgia,1,69
Ghana,1,70
Grenada,1,71
Greece,1,72
Guatemala,1,73
Guyana,1,74
Guinea,1,75
Equatorial Guinea,1,76
Guinea-Bissau,1,77
Haiti,1,78
Honduras,1,79
Hungary,1,80
India,1,81
Indonesia,1,82
Iraq,1,83
Iran,1,84
Ireland,1,85
Iceland,1,86
Marshall Islands,1,87
Solomon Islands,1,88
Israel,1,89
Italy,1,90
Jamaica,1,91
Japan,1,92
Jordan,1,93
Kazakhstan,1,94
Kenya,1,95
Kyrgyzstan,1,96
Kiribati,1,97
Kuwait,1,98
Laos,1,99
Lesotho,1,100
Latvia,1,101
Lebanon,1,102
Liberia,1,103
Libya,1,104
Liechtenstein,1,105
Lithuania,1,106
Luxembourg,1,107
Madagascar,1,108
Malaysia,1,109
Malawi,1,110
Maldives,1,111
Mali,1,112
Malta,1,113
Morocco,1,114
Mauritius,1,115
Mauritania,1,116
Mexico,1,117
Micronesia,1,118
Moldova,1,119
Monaco,1,120
Mongolia,1,121
Montenegro,1,122
Mozambique,1,123
Namibia,1,124
Nauru,1,125
Nepal,1,126
Nicaragua,1,127
Niger,1,128
Nigeria,1,129
Norway,1,130
New Zealand,1,131
Oman,1,132
Netherlands,1,133
Pakistan,1,134
Palau,1,135
Panama,1,136
Papua New Guinea,1,137
Paraguay,1,138
Peru,1,139
Poland,1,140
Portugal,1,141
United Kingdom,1,142
Central African Republic,1,143
Czech Republic,1,144
North Macedonia,1,145
Republic of the Congo,1,146
Democratic Republic of the Congo,1,147
Dominican Republic,1,148
South Africa,1,149
Rwanda,1,150
Romania,1,151
Russia,1,152
Samoa,1,153
Saint Kitts and Nevis,1,154
San Marino,1,155
Saint Vincent and the Grenadines,1,156
Saint Lucia,1,157
São Tomé and Príncipe,1,158
Senegal,1,159
Serbia,1,160
Seychelles,1,161
Sierra Leone,1,162
Singapore,1,163
Syria,1,164
Somalia,1,165
Sri Lanka,1,166
Eswatini,1,167
Sudan,1,168
South Sudan,1,169
Sweden,1,170
Switzerland,1,171
"Suriname, lang",1,172
Thailand,1,173
Tanzania,1,174
Tajikistan,1,175
East Timor,1,176
Togo,1,177
Tonga,1,178
Trinidad and Tobago,1,179
Tunisia,1,180
Turkmenistan,1,181
Turkey,1,182
Tuvalu,1,183
Ukraine,1,184
Uganda,1,185
Uruguay,1,186
Uzbekistan,1,187
Vanuatu,1,188
Venezuela,1,189
Vietnam,1,190
Yemen,1,191
Djibouti,1,192
Zambia,1,193
Zimbabwe,1,194
Chinese Taipei,1,195
Northern Cyprus,1,196
AKV Kemajl Azizi,1,197
