"name","lang","country_id"
Afganistán,2,1
Albania,2,2
Alemania,2,3
Andorra,2,4
Angola,2,5
Antigua y Barbuda,2,6
Arabia Saudita,2,7
Argelia,2,8
Argentina,2,9
Armenia,2,10
Australia,2,11
Austria,2,12
Azerbaiyán,2,13
Bahamas,2,14
Bangladés,2,15
Barbados,2,16
Baréin,2,17
Bélgica,2,18
Belice,2,19
Benín,2,20
Bielorrusia,2,21
Birmania,2,22
Bolivia,2,23
Bosnia y Herzegovina,2,24
Botsuana,2,25
Brasil,2,26
Brunéi,2,27
Bulgaria,2,28
Burkina Faso,2,29
Burundi,2,30
Bután,2,31
Cabo Verde,2,32
Camboya,2,33
Camerún,2,34
Canadá,2,35
Catar,2,36
Chad,2,37
Chile,2,38
China,2,39
Chipre,2,40
Ciudad del Vaticano,2,41
Colombia,2,42
Comoras,2,43
Corea del Norte,2,44
Corea del Sur,2,45
Costa de Marfil,2,46
Costa Rica,2,47
Croacia,2,48
Cuba,2,49
Dinamarca,2,50
Dominica,2,51
Ecuador,2,52
Egipto,2,53
El Salvador,2,54
Emiratos Árabes Unidos,2,55
Eritrea,2,56
Eslovaquia,2,57
Eslovenia,2,58
España,2,59
Estados Unidos,2,60
Estonia,2,61
Etiopía,2,62
Filipinas,2,63
Finlandia,2,64
Fiyi,2,65
Francia,2,66
Gabón,2,67
Gambia,2,68
Georgia,2,69
Ghana,2,70
Granada,2,71
Grecia,2,72
Guatemala,2,73
Guyana,2,74
Guinea,2,75
Guinea ecuatorial,2,76
Guinea-Bisáu,2,77
Haití,2,78
Honduras,2,79
Hungría,2,80
India,2,81
Indonesia,2,82
Irak,2,83
Irán,2,84
Irlanda,2,85
Islandia,2,86
Islas Marshall,2,87
Islas Salomón,2,88
Israel,2,89
Italia,2,90
Jamaica,2,91
Japón,2,92
Jordania,2,93
Kazajistán,2,94
Kenia,2,95
Kirguistán,2,96
Kiribati,2,97
Kuwait,2,98
Laos,2,99
Lesoto,2,100
Letonia,2,101
Líbano,2,102
Liberia,2,103
Libia,2,104
Liechtenstein,2,105
Lituania,2,106
Luxemburgo,2,107
Madagascar,2,108
Malasia,2,109
Malaui,2,110
Maldivas,2,111
Malí,2,112
Malta,2,113
Marruecos,2,114
Mauricio,2,115
Mauritania,2,116
México,2,117
Micronesia,2,118
Moldavia,2,119
Mónaco,2,120
Mongolia,2,121
Montenegro,2,122
Mozambique,2,123
Namibia,2,124
Nauru,2,125
Nepal,2,126
Nicaragua,2,127
Níger,2,128
Nigeria,2,129
Noruega,2,130
Nueva Zelanda,2,131
Omán,2,132
Países Bajos,2,133
Pakistán,2,134
Palaos,2,135
Panamá,2,136
Papúa Nueva Guinea,2,137
Paraguay,2,138
Perú,2,139
Polonia,2,140
Portugal,2,141
Reino Unido,2,142
República Centroafricana,2,143
República Checa,2,144
República de Macedonia,2,145
República del Congo,2,146
República Democrática del Congo,2,147
República Dominicana,2,148
República Sudafricana,2,149
Ruanda,2,150
Rumanía,2,151
Rusia,2,152
Samoa,2,153
San Cristóbal y Nieves,2,154
San Marino,2,155
San Vicente y las Granadinas,2,156
Santa Lucía,2,157
Santo Tomé y Príncipe,2,158
Senegal,2,159
Serbia,2,160
Seychelles,2,161
Sierra Leona,2,162
Singapur,2,163
Siria,2,164
Somalia,2,165
Sri Lanka,2,166
Suazilandia,2,167
Sudán,2,168
Sudán del Sur,2,169
Suecia,2,170
Suiza,2,171
Surinam,2,172
Tailandia,2,173
Tanzania,2,174
Tayikistán,2,175
Timor Oriental,2,176
Togo,2,177
Tonga,2,178
Trinidad y Tobago,2,179
Túnez,2,180
Turkmenistán,2,181
Turquía,2,182
Tuvalu,2,183
Ucrania,2,184
Uganda,2,185
Uruguay,2,186
Uzbekistán,2,187
Vanuatu,2,188
Venezuela,2,189
Vietnam,2,190
Yemen,2,191
Yibuti,2,192
Zambia,2,193
Zimbabue,2,194
Taipéi Chino,2,195
Chipre del Norte,2,196
AKV Kemajl Azizi,2,197
