festival_id,name,description,address,lang
2,Festival International de Folklore de Argentina - Brinkmann,"The city of Brinkmann, in the province of Córdoba, was hosting the Argentina Festival since 1988. Organized by the Municipality of the city constitutes one of the bases of the Network of the International Folklore Festival.",Av. Seeber 175,1
2,Festival International de folklore de Argentina - Brinkmann,"La ciudad de Brinkmann, en la Provincia de Córdoba, se sede del Festival de Argentina desde 1988. Organizado por la Municipalidad de la ciudad constituye una de las bases de la red del Festival Internacional de Folklore.",Av. Seeber 175,2
2,Festival International de Folklore de Argentine - Brinkmann,"La ville de Brinkmann, dans la province de Córdoba, organisait le festival de l'Argentine depuis 1988. Organisé par la municipalité de la ville constitue l'une des bases du réseau du festival international du folklore.",Av. Seeber 175,3
15,Folklorama,Folklorama invites you to experience a celebration of cultural diversity at the world’s largest and longest-running multicultural festival of its kind!,"2nd Floor,183 Kennedy Street",1
15,Folklorama,¡Folklorama te invita a experimentar una celebración de la diversidad cultural en el festival multicultural más grande y de mayor duración del mundo de su tipo!,"2nd Floor,183 Kennedy Street",2
15,Folklorama,Le folklorama vous invite à vivre une célébration de la diversité culturelle lors du plus grand et le plus long des festivals multiculturels du monde du genre!,"2nd Floor,183 Kennedy Street",3
28,Montoire Festival - World Cultures,No Description,Espace de L'Europe,1
28,Festival Montoire - Culturas mundiales,No Description,Espace de L'Europe,2
28,Festival de Montoire - Les cultures du Monde,No Description,Espace de L'Europe,3
30,International Youth Festival week at Wewelsburg,No Description,Aldegrevestr. 10-14,1
30,Semana del Festival Juvenil Internacional en Wewelsburg,No Description,Aldegrevestr. 10-14,2
30,Semaine internationale du festival des jeunes à Wewelsburg,No Description,Aldegrevestr. 10-14,3
369,San José Iturbide International Dance Festival GTO,"Contribute to the integral development of citizens through art and culture under a sense of pride and belonging to our ethnic and cultural space, having as a premise respect and attachment to traditions and customs through art is one of the objectives of the""International Dance Festival"" (FID), Folkloric Cultural Event organized by the Municipal Dance Company of San José Iturbide, Group added to Cioff México that in Cordination with him H. City Council, the Secretary of Tourism of the State, the House of Cultureand the Municipal Tourist Council seeks to show the general public the intangible cultural heritage of the peoples of the world, as well as contribute to the fulfillment of the objectives of Cioff and UNESCO in the dissemination and protection of traditional cultures promoting mutual understanding andLa Paz, through high quality events and collateral activities that include a comprehensive festival for all citizens.",No Address,1
