"festival_id","category_id"
1,1
1,2
1,3
1,4
1,6
1,7
1,10
1,12
1,13
1,14
2,1
2,2
2,3
2,4
2,14
3,1
3,2
3,3
3,4
3,7
3,9
3,11
3,14
4,1
4,2
4,3
4,4
4,5
4,10
4,12
4,15
4,16
5,1
5,2
5,4
5,6
5,10
5,12
5,13
5,14
5,15
5,16
6,1
6,2
6,3
6,4
6,6
6,10
6,12
6,15
7,1
7,2
7,3
7,4
7,5
7,6
7,10
7,12
7,13
7,14
7,15
7,16
8,1
8,2
8,3
8,4
8,10
8,14
8,15
9,1
9,2
9,3
9,4
9,12
9,14
10,1
10,2
10,3
10,4
10,12
10,14
10,15
10,16
11,1
11,2
11,3
11,4
11,6
11,10
11,14
11,15
11,16
12,1
12,2
12,3
12,4
12,5
12,6
12,7
12,10
12,12
12,13
12,14
12,15
12,16
13,1
13,2
13,3
13,4
13,6
13,10
13,12
13,15
13,16
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,12
15,14
15,15
15,16
16,1
16,2
16,3
16,4
16,6
16,10
16,14
16,15
16,16
17,1
17,2
17,3
17,4
17,5
17,6
17,10
17,12
17,13
17,14
17,15
21,1
21,2
21,3
21,4
21,10
21,14
21,15
21,16
22,1
22,2
22,3
22,4
22,6
22,7
22,10
22,14
22,15
22,16
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,10
23,12
23,13
23,14
23,15
23,16
24,1
24,2
24,3
24,4
24,10
24,12
24,13
24,14
24,15
24,16
25,1
25,2
25,3
25,4
25,10
25,14
25,15
25,16
26,1
26,2
26,3
26,4
26,5
26,7
26,10
26,12
26,13
26,14
26,15
26,16
28,1
28,2
28,3
28,4
28,5
28,6
28,10
28,12
28,13
28,14
28,15
28,16
29,1
29,2
29,4
29,14
30,1
30,2
30,4
30,6
30,14
30,15
31,2
31,4
31,9
31,13
31,14
31,15
32,1
32,2
32,3
32,4
32,6
32,10
32,14
32,15
35,1
35,2
35,4
35,6
35,14
35,15
35,16
36,1
36,2
36,3
36,4
36,5
36,6
36,10
36,12
36,14
36,15
38,1
38,2
38,3
38,4
38,6
38,10
38,12
38,13
38,14
38,15
39,1
39,2
39,3
39,4
39,5
39,6
39,10
39,14
39,16
40,1
40,2
40,3
40,4
40,6
40,10
40,14
40,15
44,1
44,2
44,3
44,4
44,5
44,14
44,15
45,1
45,2
45,3
45,4
45,5
45,6
45,10
45,14
45,15
45,16
46,1
46,2
46,3
46,4
46,5
46,6
46,7
46,10
46,12
46,13
46,14
46,15
46,16
47,1
47,2
47,3
47,4
47,5
47,14
47,15
47,16
48,1
48,2
48,3
48,4
48,5
48,6
48,10
48,14
48,15
48,16
49,1
49,2
49,3
49,4
49,5
49,10
49,12
49,13
49,14
49,15
49,16
50,1
50,2
50,4
50,5
50,6
50,10
50,12
50,13
50,14
50,15
50,16
51,1
51,2
51,4
51,5
51,6
51,10
51,12
51,15
51,16
52,1
52,2
52,3
52,4
52,6
52,12
52,13
52,14
52,15
52,16
53,1
53,2
53,3
53,4
53,10
53,14
53,15
53,16
54,1
54,2
54,3
54,4
54,6
54,12
54,13
54,14
54,15
54,16
55,1
55,2
55,3
55,4
55,10
55,13
55,14
55,15
55,16
61,1
61,2
61,3
61,4
61,7
61,10
61,11
61,15
61,16
62,1
62,2
62,3
62,4
62,5
62,6
62,7
62,10
62,12
62,14
63,1
63,2
63,3
63,4
63,5
63,6
63,7
63,10
63,12
63,13
63,14
63,15
63,16
64,1
64,2
64,3
64,4
64,5
64,6
64,10
64,15
64,16
66,1
66,2
66,3
66,4
66,10
66,12
66,14
66,15
67,1
67,2
67,3
67,4
67,5
67,6
67,10
67,14
67,15
67,16
68,1
68,2
68,3
68,4
68,5
68,6
68,10
68,12
68,13
68,14
68,15
68,16
69,1
69,2
69,3
69,4
69,5
69,6
69,7
69,10
69,12
69,13
69,14
69,15
69,16
70,1
70,2
70,3
70,4
70,5
70,7
70,10
70,14
70,15
70,16
71,1
71,2
71,3
71,4
71,14
71,15
71,16
72,1
72,2
72,3
72,4
72,5
72,6
72,7
72,10
72,12
72,14
72,16
73,1
73,2
73,3
73,4
73,10
73,12
73,13
73,14
73,15
73,16
74,1
74,2
74,3
74,4
74,10
74,11
74,12
74,13
74,14
74,15
74,16
75,1
75,2
75,3
75,4
75,6
75,12
75,14
75,15
75,16
76,1
76,2
76,3
76,4
76,15
77,1
77,2
77,3
77,4
77,5
77,6
77,7
77,10
77,12
77,13
77,14
77,15
77,16
78,1
78,2
78,4
78,10
78,12
78,14
78,15
79,1
79,2
79,3
79,4
79,10
79,14
79,15
79,16
80,1
80,2
80,4
80,5
80,6
80,10
80,12
80,13
80,14
80,15
80,16
81,1
81,2
81,10
81,14
81,15
81,16
82,1
82,2
82,4
82,5
82,14
82,15
82,16
83,1
83,2
83,3
83,4
83,14
83,15
83,16
84,1
84,2
84,3
84,4
84,5
84,14
84,15
84,16
85,1
85,2
85,3
85,4
85,10
85,14
85,15
85,16
87,1
87,2
87,3
87,4
87,5
87,6
87,7
87,10
87,12
87,13
87,14
87,15
89,1
89,2
89,3
89,4
89,6
89,10
89,14
91,1
91,2
91,4
91,14
91,15
91,16
92,1
92,2
92,4
92,10
92,12
92,14
92,15
96,1
96,2
96,3
96,4
96,6
96,7
96,10
96,12
96,13
96,14
96,15
96,16
97,1
97,2
97,4
97,6
97,12
97,13
97,14
97,15
98,1
98,2
98,3
98,4
98,6
98,12
98,14
98,15
98,16
99,1
99,2
99,3
99,4
99,5
99,6
99,7
99,10
99,12
99,13
99,14
99,15
99,16
100,1
100,2
100,4
100,5
100,6
100,12
100,14
100,15
101,1
101,2
101,10
101,12
101,14
101,15
102,1
102,2
102,3
102,4
102,5
102,6
102,7
102,10
102,12
102,13
102,14
102,15
102,16
104,1
104,2
104,3
104,4
104,5
104,6
104,7
104,9
104,10
104,12
104,13
104,14
104,15
104,16
106,1
106,2
106,4
106,11
106,12
106,15
106,16
107,2
107,3
107,4
107,7
107,11
107,12
107,14
107,15
108,1
108,2
108,3
108,4
108,5
108,6
108,7
108,10
108,11
108,12
108,13
108,14
109,1
109,2
109,4
109,6
109,11
109,14
109,15
110,1
110,2
110,4
110,11
110,14
110,15
110,16
111,1
111,2
111,3
111,4
111,5
111,6
111,7
111,12
111,13
111,14
111,15
111,16
113,1
113,2
113,3
113,4
113,14
114,1
114,2
114,3
114,4
114,10
114,14
114,15
114,16
115,1
115,2
115,3
115,4
115,5
115,6
115,14
116,1
116,2
116,4
116,14
116,15
116,16
118,1
118,2
118,3
118,4
118,10
118,14
118,15
118,16
120,1
120,2
120,3
120,4
121,1
121,2
121,3
121,4
121,5
121,6
121,7
121,10
121,12
121,13
121,14
122,1
122,2
122,3
122,4
122,5
122,6
122,12
122,14
122,16
123,1
123,2
123,3
123,4
123,5
123,6
123,12
123,15
123,16
125,1
125,2
125,3
125,4
125,5
125,6
125,7
125,10
125,12
125,13
125,14
126,1
126,2
126,14
126,15
126,16
127,1
127,2
127,3
127,4
127,6
127,7
127,10
127,11
127,12
127,13
127,14
127,15
127,16
129,1
129,2
129,3
129,4
129,5
129,6
129,7
129,10
129,11
129,12
129,13
129,14
129,15
129,16
130,1
130,2
130,3
130,4
130,14
130,15
130,16
131,1
131,2
131,3
131,4
131,5
131,10
131,14
131,15
131,16
134,1
134,2
134,3
134,4
134,7
134,10
134,11
134,12
134,16
135,1
135,2
135,3
135,4
135,5
135,6
135,10
135,12
135,13
135,15
135,16
136,1
136,2
136,3
136,4
136,7
136,10
136,11
136,15
136,16
140,1
140,2
140,3
140,4
140,12
140,14
140,15
140,16
141,1
141,2
141,3
141,4
141,5
141,6
141,12
141,13
141,14
141,15
141,16
142,1
142,2
142,3
142,4
142,6
142,7
142,10
142,15
142,16
143,1
143,2
143,3
143,4
143,15
143,16
144,1
144,2
144,3
144,4
144,6
144,7
144,10
144,14
144,15
144,16
146,2
146,9
146,14
146,15
147,1
147,2
147,4
147,6
147,10
147,14
147,15
147,16
154,2
154,3
154,4
154,9
154,12
154,13
154,14
154,15
156,1
156,2
156,3
156,4
156,5
156,14
158,1
158,2
158,3
158,4
158,6
158,10
158,12
158,13
158,14
158,15
158,16
160,1
160,2
160,3
160,4
160,6
160,14
160,15
160,16
161,1
161,2
161,3
161,4
161,7
161,14
161,15
161,16
162,1
162,2
162,3
162,4
162,14
162,15
162,16
165,1
165,2
165,3
165,4
165,5
165,6
165,9
165,12
165,13
165,14
165,15
166,1
166,2
166,4
166,14
166,15
166,16
167,1
167,2
167,3
167,4
167,6
167,7
167,10
167,12
167,13
167,14
167,15
167,16
168,1
168,2
168,4
168,13
168,14
174,1
174,3
174,4
174,5
174,6
174,12
174,14
174,16
176,1
176,4
176,14
176,15
177,1
177,2
177,3
177,4
177,6
177,10
177,12
177,14
177,15
177,16
178,1
178,2
178,3
178,4
178,5
178,9
178,13
178,14
178,15
178,16
179,1
179,2
179,3
179,4
179,14
180,1
180,2
180,3
180,4
182,1
182,2
182,3
182,4
182,5
182,6
182,10
182,12
182,14
182,15
182,16
183,1
183,2
183,3
183,4
183,10
183,14
183,15
183,16
185,1
185,3
185,4
185,6
185,12
185,14
185,15
186,1
186,2
186,3
186,4
186,5
186,6
186,7
186,12
186,13
186,14
186,15
186,16
191,1
191,2
191,3
191,4
191,10
191,13
191,15
191,16
192,1
192,2
192,4
192,6
192,13
192,14
199,1
199,2
199,3
199,4
199,5
199,6
199,7
199,10
199,12
199,13
199,14
199,15
199,16
200,1
200,2
200,12
200,14
200,15
200,16
201,1
201,2
201,3
201,4
201,14
201,15
201,16
202,1
202,2
202,3
202,4
202,5
202,6
202,7
202,12
202,14
202,15
202,16
205,1
205,2
205,4
205,14
205,15
206,1
206,2
206,3
206,4
206,5
206,6
206,10
206,12
206,13
206,14
206,15
206,16
213,1
213,2
213,3
213,4
213,5
213,14
213,15
213,16
214,1
214,2
214,4
214,10
214,14
214,15
215,1
215,2
215,4
215,14
215,15
222,1
222,2
222,3
222,4
222,5
222,10
222,15
222,16
225,1
225,2
225,3
225,4
225,5
225,6
225,7
225,10
225,12
225,13
225,14
225,15
225,16
230,1
230,2
230,3
230,4
230,7
230,11
230,14
230,15
230,16
231,1
231,2
231,3
231,4
231,15
231,16
234,1
234,2
234,3
234,4
234,6
234,12
234,13
234,14
234,15
241,1
241,2
241,3
241,4
241,14
242,1
242,2
242,3
242,4
242,10
242,13
242,14
242,16
243,1
243,2
243,3
243,4
243,5
243,6
243,7
243,11
243,13
243,14
243,15
243,16
244,1
244,2
244,3
244,4
244,6
244,13
244,14
250,1
250,2
250,4
250,15
252,1
252,2
252,3
252,4
252,5
252,6
252,10
252,14
252,15
255,1
255,2
255,3
255,4
255,7
255,10
255,12
255,13
255,14
255,15
255,16
256,1
256,2
256,3
256,4
256,7
256,10
256,12
256,13
256,14
256,16
258,1
258,2
258,3
258,4
258,6
258,12
258,14
258,15
258,16
260,1
260,2
260,3
260,4
260,5
260,6
260,7
260,10
260,12
260,13
260,14
260,15
260,16
267,1
267,2
267,3
267,4
267,7
267,11
267,14
267,15
267,16
268,1
268,2
268,4
268,5
268,6
268,10
268,12
268,15
269,1
269,2
269,3
269,4
269,6
269,10
269,15
269,16
275,1
275,2
275,3
275,4
275,5
275,6
275,12
275,14
275,15
277,1
277,2
277,3
277,4
277,5
277,6
277,14
278,1
278,2
278,4
278,6
278,15
278,16
279,1
279,2
279,3
279,4
279,5
279,7
279,12
279,13
279,14
279,15
285,1
285,2
285,4
285,5
285,6
285,11
285,12
285,14
285,15
286,1
286,2
286,3
286,4
286,5
286,12
286,13
286,14
286,15
286,16
291,1
291,2
291,3
291,4
291,10
291,14
299,1
299,2
299,3
299,4
299,6
299,14
299,15
299,16
300,1
300,2
300,4
300,5
300,6
300,7
300,12
300,14
300,15
301,1
301,2
301,4
301,14
301,15
301,16
303,1
303,2
303,3
303,4
303,5
303,14
303,15
303,16
304,1
304,2
304,3
304,4
304,6
304,12
304,15
304,16
307,1
307,2
307,3
307,4
307,14
307,15
307,16
308,1
308,2
308,3
308,4
308,14
308,15
308,16
324,1
324,2
324,3
324,4
324,5
324,6
324,7
324,12
324,13
324,14
324,15
324,16
336,1
336,2
336,3
336,4
336,5
336,6
336,12
336,13
336,14
336,15
342,1
342,2
342,3
342,4
342,6
342,10
342,12
342,13
342,14
342,15
342,16
344,1
344,2
344,3
344,4
344,6
344,12
344,14
344,15
348,1
348,3
348,6
348,15
348,16
352,1
352,2
352,3
352,4
352,5
352,6
352,10
352,12
352,13
352,14
352,15
354,1
354,2
354,11
356,1
356,2
356,3
356,4
356,5
356,6
356,12
358,1
358,2
358,3
358,4
358,5
358,6
358,12
358,13
358,16
359,1
359,2
359,3
359,4
359,5
359,6
359,14
365,1
365,2
365,3
365,4
365,12
365,14
366,1
366,2
366,4
366,14
369,1
369,2
369,4
369,6
369,7
369,10
369,13
369,14
369,15
369,16
370,1
370,2
370,3
370,4
370,14
371,1
371,2
371,3
371,4
371,5
371,6
371,7
371,12
