"slug","state_mode","url_validated","director_name","email","url","contact","phone","lat","lng","transport_lat","transport_lng","youtube_id","published","country_id","logo_id","cover_id","created_by","updated_by","created_at"
festival-international-de-folklore-de-argentina-brinkmann,offline,false,"",intendencia@brinkmann.gov.ar,www.cioffargentina.org.ar,,+54 3562 480962,,,,,,true,9,,,84,,2024-09-28 23:46:04.804
folklorama,offline,false,"",chidalgo-mazzei@folklorama.ca,www.folklorama.ca,,+1-204-982 6210,,,,,,true,35,,,84,,2024-09-28 23:46:04.804
festival-de-montoire-les-cultures-du-monde,offline,false,"",festival.montoire@orange.fr,www.festival-montoire.com,,+33-2-5485.3516,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
internationale-jugendfestwoche-auf-der-wewelsburg,offline,false,"",luenzb@kreis-paderborn.de,www.festwoche.de/de,,+49-5251-308 5120,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-danza-de-san-jos-iturbide-gto,offline,false,"",cererik@hotmail.com,"",,"4191982593",,,,,,true,117,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-dani-caske-puracic,offline,false,"",danicaske.puracic@gmail.com,http://kudpuracic.ba/    https://www.facebook.com/KUD-Puracic t,,+38761196215,,,,,,true,24,,,84,,2024-09-28 23:46:04.804
grand-prix-der-folklore-fr-kinder,offline,false,"",mecklenburger_folkloreensemble@online.de,www.folklore-ribnitz.de,,+49-3821-812 311,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
festival-internacional-del-folklore-el-mundo-danza-en-tlaxcala,offline,false,"",ballet_tierrajoven@msn.com,https://www.facebook.com/elmundodanzaentlax.of/,,"",,,,,,true,117,,,84,,2024-09-28 23:46:04.804
miedzynarodowy-festiwal-folkloru-strzegom,offline,false,"",sck@sck.strzegom.pl,www.strzgom.pl/pl/strony/kultura/festival.htm,,+48-74-649 4401,,,,,,true,140,,,84,,2024-09-28 23:46:04.804
festival-international-de-folklore-en-el-seguracieza,offline,false,"",festival@corosydanzascieza.com,www.corosydanzascieza.com,,"",,,,,,true,59,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-myjava,offline,false,"",cioffslovensko@gmail.com,http://www.mffmyjava.sk,,"",,,,,,true,57,,,84,,2024-09-28 23:46:04.804
international-cioff-folklore-festival-folkart-maribor,offline,false,"",alenka.klemencic@nd-mb.si,www.festival-lent.si,,+386-2-229 4067,,,,,,true,58,,,84,,2024-09-28 23:46:04.804
festival-folklrico-internacional-de-extremadura,offline,false,"",corosydanzasbadajoz@hotmail.com,www.asociacioncorosydanzasbadajoz.com,,"",,,,,,true,59,,,84,,2024-09-28 23:46:04.804
jornadas-folclricas-nazarenas-internacionales,offline,false,"",grupodanzasdoshermanas@gmail.com,"",,"",,,,,,true,59,,,84,,2024-09-28 23:46:04.804
mostra-internacional-de-dansa-popular,offline,false,"",esantmarcal@gmail.com,www.esbartsantmarcal.com,,"",,,,,,true,59,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-folclore-ciudad-de-burgos,offline,false,"",folcloreburgos@gmail.com,www.folcloreburgos.net,,+34-947 262 684,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-folclore-de-ciudad-real,offline,false,"",info@grupomazantini.com,www.grupomazantini.com,,"",,,,,,true,59,,,84,,2024-09-28 23:46:04.804
world-folkfest,offline,false,"",Internationaldirector@worldfolkfest.org,www.worldfolkfest.org,,+1-801-427-7953,,,,,,true,60,,,84,,2024-09-28 23:46:04.804
festival-international-de-folklore-cultures-et-traditions-du-monde-de-romans,offline,false,"",empi.et.riaume26@gmail.com,www.empi-et-riaume.com,,+33-4-7502 3052,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-folclore-en-el-mediterrneo,offline,false,"",oficinafestivales@ayto-murcia.es,"",,+34.968 35 87 19 - Ext.39509-39507,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
mostra-folklrica-internacional-popular-de-viveiro,offline,false,"",bagoasdaterra@gmail.com,www.bagoasdaterra.com,,+34 982 560 444,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-folklore-villa-de-ingenio-muestra-solidaria-de-los-pueblos,offline,false,"",dcastellano@ingenio.es,www.folkloredeingenio.com,,+34-928- 786194,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
gala-folklrica-internacional-de-ronda,offline,false,"",folkloreronda@gmail.com,https://www.facebook.com/galafolkloricaderonda /https://www.instagram.com/corosydanzasronda/,,+34-952-87 82 64,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
encuentro-internacional-de-folklore-ciudad-de-zaragoza-eifolk,offline,false,"",eifolk@eifolk.com,www.eifolk.com,,"",,,,,,true,59,,,84,,2024-09-28 23:46:04.804
internationale-begegnungswoche,offline,false,"",info@vtg-laggenbeck.de,www.vtg-laggenbeck.de,,"",,,,,,true,3,,,84,,2024-09-28 23:46:04.804
national-cultural-childrens-meeting-karditsa,offline,false,"",karagounakarditsa@hotmail.com,"",,+30-4410-22 166,,,,,,true,72,,,84,,2024-09-28 23:46:04.804
rassegna-internazionale-del-folklore-castiglione-del-lago,offline,false,"",agillatrasimeno@libero.it,www.cioff-italia.org,,+39 075 953 683,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-hoogstraten,offline,false,"",info@gelmelzwaaiers.be,www.gelmelzwaaiers.be,,"",,,,,,true,18,,,84,,2024-09-28 23:46:04.804
the-international-folklore-festival-eurofolk-zamosc,offline,false,"",zpitzam@interia.pl,https://zamojszczyzna.com.pl/eurofolk/,,"00 48-84 639 20 21",,,,,,true,140,,,84,,2024-09-28 23:46:04.804
miedzynarodowe-olsztynskie-dni-folkloru-warmia-olsztyn,offline,false,"",zpitwarmia@poczta.onet.pl,"",,+48-89-526 4938,,,,,,true,140,,,84,,2024-09-28 23:46:04.804
festival-internacional-encuentro-costumbrista-de-pealolen,offline,false,"",mfierroy@gmail.com,www.antauco.cl,,"56224868377",,,,,,true,38,,,84,,2024-09-28 23:46:04.804
