"ns_id","name","lang"
1,La asociación de Albania,2
2,La asociación de Argelia,2
3,La asociación de Argentina,2
4,La asociación de Austria,2
5,La asociación de Bélgica,2
6,La asociación de Benín,2
7,La asociación de Bolivia,2
8,La asociación de Bosnia y Herzegovina,2
9,La asociación de Brasil,2
10,La asociación de Bulgaria,2
11,La asociación de Canadá,2
12,La asociación de Chile,2
13,La asociación de China,2
14,La asociación de Taipéi Chino,2
15,La asociación de Comoras,2
16,La asociación de Costa Rica,2
17,La asociación de Croacia,2
18,La asociación de República Checa,2
19,La asociación de Ecuador,2
20,La asociación de Estonia,2
21,La asociación de Francia,2
22,La asociación de Georgia,2
23,La asociación de Alemania,2
24,La asociación de Ghana,2
25,La asociación de Grecia,2
26,La asociación de Guatemala,2
27,La asociación de Honduras,2
28,La asociación de Hungría,2
29,La asociación de India,2
30,La asociación de Indonesia,2
31,La asociación de Israel,2
32,La asociación de Italia,2
33,La asociación de Japón,2
34,La asociación de AKV Kemajl Azizi,2
35,La asociación de Kirguistán,2
36,La asociación de Luxemburgo,2
37,La asociación de Malaui,2
38,La asociación de Malasia,2
39,La asociación de Montenegro,2
40,La asociación de Países Bajos,2
41,La asociación de República de Macedonia,2
42,La asociación de Chipre del Norte,2
43,La asociación de Panamá,2
44,La asociación de Paraguay,2
45,La asociación de Perú,2
46,La asociación de Polonia,2
47,La asociación de Portugal,2
48,La asociación de Rumanía,2
49,La asociación de Serbia,2
50,La asociación de Sierra Leona,2
51,La asociación de Eslovaquia,2
52,La asociación de Eslovenia,2
53,La asociación de Corea del Sur,2
54,La asociación de República Sudafricana,2
55,La asociación de España,2
56,La asociación de Suiza,2
57,La asociación de Tailandia,2
58,La asociación de Timor Oriental,2
59,La asociación de Togo,2
60,La asociación de Turquía,2
61,La asociación de Reino Unido,2
62,La asociación de Estados Unidos,2
63,La asociación de Uzbekistán,2
64,La asociación de Colombia,2
