"ns_id","name","lang"
1,L’association de Albanie,3
2,L’association de Algérie,3
3,L’association de Argentine,3
4,L’association de Autriche,3
5,L’association de Belgique,3
6,L’association de Bénin,3
7,L’association de Bolivie,3
8,L’association de Bosnie-Herzégovine,3
9,L’association de Brésil,3
10,L’association de Bulgarie,3
11,L’association de Canada,3
12,L’association de Chili,3
13,L’association de Chine,3
14,L’association de Taipei chinois,3
15,L’association de Comores,3
16,L’association de Costa Rica,3
17,L’association de Croatie,3
18,L’association de République tchèque,3
19,L’association de Équateur,3
20,L’association de Estonie,3
21,L’association de France,3
22,L’association de Géorgie,3
23,L’association de Allemagne,3
24,L’association de Ghana,3
25,L’association de Grèce,3
26,L’association de Guatemala,3
27,L’association de Honduras,3
28,L’association de Hongrie,3
29,L’association de Inde,3
30,L’association de Indonésie,3
31,L’association de Israël,3
32,L’association de Italie,3
33,L’association de Japon,3
34,L’association de AKV Kemajl Azizi,3
35,L’association de Kirghizistan,3
36,L’association de Luxembourg,3
37,L’association de Malawi,3
38,L’association de Malaisie,3
39,L’association de Monténégro,3
40,L’association de Pays-Bas,3
41,L’association de Macédoine du Nord,3
42,L’association de Chypre du Nord,3
43,L’association de Panama,3
44,L’association de Paraguay,3
45,L’association de Pérou,3
46,L’association de Pologne,3
47,L’association de Portugal,3
48,L’association de Roumanie,3
49,L’association de Serbie,3
50,L’association de Sierra Leone,3
51,L’association de Slovaquie,3
52,L’association de Slovénie,3
53,L’association de Corée du Sud,3
54,L’association de Afrique du Sud,3
55,L’association de Espagne,3
56,L’association de Suisse,3
57,L’association de Thaïlande,3
58,L’association de Timor-Oriental,3
59,L’association de Togo,3
60,L’association de Turquie,3
61,L’association de Royaume-Uni,3
62,L’association de États-Unis,3
63,L’association de Ouzbékistan,3
64,L’association de Colombie,3
