"name","ns_id","lang"
The association of Albania,1,1
La asociación de Albania,1,2
L’association de Albanie,1,3
The association of Algeria,2,1
La asociación de Argelia,2,2
L’association de Algérie,2,3
The association of Argentina,3,1
La asociación de Argentina,3,2
L’association de Argentine,3,3
The association of Austria,4,1
La asociación de Austria,4,2
L’association de Autriche,4,3
The association of Belgium,5,1
La asociación de Bélgica,5,2
L’association de Belgique,5,3
The association of Benin,6,1
La asociación de Benín,6,2
L’association de Bénin,6,3
The association of Bolivia,7,1
La asociación de Bolivia,7,2
L’association de Bolivie,7,3
The association of Bosnia and Herzegovina,8,1
La asociación de Bosnia y Herzegovina,8,2
L’association de Bosnie-Herzégovine,8,3
The association of Brazil,9,1
La asociación de Brasil,9,2
L’association de Brésil,9,3
The association of Bulgaria,10,1
La asociación de Bulgaria,10,2
L’association de Bulgarie,10,3
The association of Canada,11,1
La asociación de Canadá,11,2
L’association de Canada,11,3
The association of Chile,12,1
La asociación de Chile,12,2
L’association de Chili,12,3
The association of China,13,1
La asociación de China,13,2
L’association de Chine,13,3
The association of Chinese Taipei,14,1
La asociación de Taipéi Chino,14,2
L’association de Taipei chinois,14,3
The association of Comoros,15,1
La asociación de Comoras,15,2
L’association de Comores,15,3
The association of Costa Rica,16,1
La asociación de Costa Rica,16,2
L’association de Costa Rica,16,3
The association of Croatia,17,1
La asociación de Croacia,17,2
L’association de Croatie,17,3
The association of Czech Republic,18,1
La asociación de República Checa,18,2
L’association de République tchèque,18,3
The association of Ecuador,19,1
La asociación de Ecuador,19,2
L’association de Équateur,19,3
The association of Estonia,20,1
La asociación de Estonia,20,2
L’association de Estonie,20,3
The association of France,21,1
La asociación de Francia,21,2
L’association de France,21,3
The association of Georgia,22,1
La asociación de Georgia,22,2
L’association de Géorgie,22,3
The association of Germany,23,1
La asociación de Alemania,23,2
L’association de Allemagne,23,3
The association of Ghana,24,1
La asociación de Ghana,24,2
L’association de Ghana,24,3
The association of Greece,25,1
La asociación de Grecia,25,2
L’association de Grèce,25,3
The association of Guatemala,26,1
La asociación de Guatemala,26,2
L’association de Guatemala,26,3
The association of Honduras,27,1
La asociación de Honduras,27,2
L’association de Honduras,27,3
The association of Hungary,28,1
