"country_id","slug","created_by"
2,albania,84
8,algeria,84
9,argentina,84
12,austria,84
18,belgium,84
20,benin,84
23,bolivia,84
24,bosnia-herzegovina,84
26,brazil,84
28,bulgaria,84
35,canada,84
38,chile,84
39,china,84
195,chinese-taipei,84
43,comoros,84
47,costa-rica,84
48,croatia,84
144,czech-republic,84
52,ecuador,84
61,estonia,84
66,france,84
69,georgia,84
3,germany,84
70,ghana,84
72,greece,84
73,guatemala,84
79,honduras,84
80,hungary,84
81,india,84
82,indonesia,84
89,israel,84
90,italy,84
92,japan,84
197,kemajl-azizi,84
96,kyrgyzstan,84
107,luxembourg,84
110,malawi,84
109,malaysia,84
122,montenegro,84
133,netherlands,84
145,north-macedonia,84
196,northern-part,84
136,panama,84
138,paraguay,84
139,peru,84
140,poland,84
141,portugal,84
151,romania,84
160,serbia,84
162,sierra-leone,84
57,slovakia,84
58,slovenia,84
45,south-korea,84
149,south-africa,84
59,spain,84
171,switzerland,84
173,thailand,84
176,timor-leste,84
177,togo,84
182,turkey,84
142,united-kingdom,84
60,united-states,84
187,uzbekistan,84
42,colombia,84
