"slug","email","url","phone","ns_id","country_id","created_by","published"
festival-international-de-folklore-de-argentina-brinkmann,intendencia@brinkmann.gov.ar,www.cioffargentina.org.ar,+54 3562 480962,3,9,"00000089-0000-0000-0000-000000000089",false
folklorama,chidalgo-mazzei@folklorama.ca,www.folklorama.ca,+1-204-982 6210,11,35,"00000089-0000-0000-0000-000000000089",false
festival-de-montoire-les-cultures-du-monde,festival.montoire@orange.fr,www.festival-montoire.com,+33-2-5485.3516,21,66,"00000089-0000-0000-0000-000000000089",false
internationale-jugendfestwoche-auf-der-wewelsburg,luenzb@kreis-paderborn.de,www.festwoche.de/de,+49-5251-308 5120,23,3,"00000089-0000-0000-0000-000000000089",false
festival-internacional-de-danza-de-san-jos-iturbide-gto,cererik@hotmail.com,"","4191982593",67,117,"00000089-0000-0000-0000-000000000089",false
international-folklore-festival-dani-caske-puracic,danicaske.puracic@gmail.com,http://kudpuracic.ba/    https://www.facebook.com/KUD-Puracic t,+38761196215,8,24,"00000089-0000-0000-0000-000000000089",false
grand-prix-der-folklore-fr-kinder,mecklenburger_folkloreensemble@online.de,www.folklore-ribnitz.de,+49-3821-812 311,23,3,"00000089-0000-0000-0000-000000000089",false
festival-internacional-del-folklore-el-mundo-danza-en-tlaxcala,ballet_tierrajoven@msn.com,https://www.facebook.com/elmundodanzaentlax.of/,"",67,117,"00000089-0000-0000-0000-000000000089",false
miedzynarodowy-festiwal-folkloru-strzegom,sck@sck.strzegom.pl,www.strzgom.pl/pl/strony/kultura/festival.htm,+48-74-649 4401,46,140,"00000089-0000-0000-0000-000000000089",false
festival-international-de-folklore-en-el-seguracieza,festival@corosydanzascieza.com,www.corosydanzascieza.com,"",55,59,"00000089-0000-0000-0000-000000000089",false
international-folklore-festival-myjava,cioffslovensko@gmail.com,http://www.mffmyjava.sk,"",51,57,"00000089-0000-0000-0000-000000000089",false
international-cioff-folklore-festival-folkart-maribor,alenka.klemencic@nd-mb.si,www.festival-lent.si,+386-2-229 4067,52,58,"00000089-0000-0000-0000-000000000089",false
festival-folklrico-internacional-de-extremadura,corosydanzasbadajoz@hotmail.com,www.asociacioncorosydanzasbadajoz.com,"",55,59,"00000089-0000-0000-0000-000000000089",false
jornadas-folclricas-nazarenas-internacionales,grupodanzasdoshermanas@gmail.com,"","",55,59,"00000089-0000-0000-0000-000000000089",false
mostra-internacional-de-dansa-popular,esantmarcal@gmail.com,www.esbartsantmarcal.com,"",55,59,"00000089-0000-0000-0000-000000000089",false
