"slug","country_id","created_by"
albania,2,"00000089-0000-0000-0000-000000000089"
algeria,8,"00000089-0000-0000-0000-000000000089"
argentina,9,"00000089-0000-0000-0000-000000000089"
austria,12,"00000089-0000-0000-0000-000000000089"
belgium,18,"00000089-0000-0000-0000-000000000089"
benin,20,"00000089-0000-0000-0000-000000000089"
bolivia,23,"00000089-0000-0000-0000-000000000089"
bosnia-herzegovina,24,"00000089-0000-0000-0000-000000000089"
brazil,26,"00000089-0000-0000-0000-000000000089"
bulgaria,28,"00000089-0000-0000-0000-000000000089"
canada,35,"00000089-0000-0000-0000-000000000089"
chile,38,"00000089-0000-0000-0000-000000000089"
china,39,"00000089-0000-0000-0000-000000000089"
chinese-taipei,195,"00000089-0000-0000-0000-000000000089"
comoros,43,"00000089-0000-0000-0000-000000000089"
costa-rica,47,"00000089-0000-0000-0000-000000000089"
croatia,48,"00000089-0000-0000-0000-000000000089"
czech-republic,144,"00000089-0000-0000-0000-000000000089"
ecuador,52,"00000089-0000-0000-0000-000000000089"
estonia,61,"00000089-0000-0000-0000-000000000089"
france,66,"00000089-0000-0000-0000-000000000089"
georgia,69,"00000089-0000-0000-0000-000000000089"
germany,3,"00000089-0000-0000-0000-000000000089"
ghana,70,"00000089-0000-0000-0000-000000000089"
greece,72,"00000089-0000-0000-0000-000000000089"
guatemala,73,"00000089-0000-0000-0000-000000000089"
honduras,79,"00000089-0000-0000-0000-000000000089"
hungary,80,"00000089-0000-0000-0000-000000000089"
india,81,"00000089-0000-0000-0000-000000000089"
indonesia,82,"00000089-0000-0000-0000-000000000089"
israel,"00000089-0000-0000-0000-000000000089","00000089-0000-0000-0000-000000000089"
italy,90,"00000089-0000-0000-0000-000000000089"
japan,92,"00000089-0000-0000-0000-000000000089"
kemajl-azizi,197,"00000089-0000-0000-0000-000000000089"
kyrgyzstan,96,"00000089-0000-0000-0000-000000000089"
luxembourg,107,"00000089-0000-0000-0000-000000000089"
malawi,110,"00000089-0000-0000-0000-000000000089"
malaysia,109,"00000089-0000-0000-0000-000000000089"
montenegro,122,"00000089-0000-0000-0000-000000000089"
netherlands,133,"00000089-0000-0000-0000-000000000089"
north-macedonia,145,"00000089-0000-0000-0000-000000000089"
northern-part,196,"00000089-0000-0000-0000-000000000089"
panama,136,"00000089-0000-0000-0000-000000000089"
paraguay,138,"00000089-0000-0000-0000-000000000089"
peru,139,"00000089-0000-0000-0000-000000000089"
poland,140,"00000089-0000-0000-0000-000000000089"
portugal,141,"00000089-0000-0000-0000-000000000089"
romania,151,"00000089-0000-0000-0000-000000000089"
serbia,160,"00000089-0000-0000-0000-000000000089"
sierra-leone,162,"00000089-0000-0000-0000-000000000089"
slovakia,57,"00000089-0000-0000-0000-000000000089"
slovenia,58,"00000089-0000-0000-0000-000000000089"
south-korea,45,"00000089-0000-0000-0000-000000000089"
south-africa,149,"00000089-0000-0000-0000-000000000089"
spain,59,"00000089-0000-0000-0000-000000000089"
switzerland,171,"00000089-0000-0000-0000-000000000089"
thailand,173,"00000089-0000-0000-0000-000000000089"
timor-leste,176,"00000089-0000-0000-0000-000000000089"
togo,177,"00000089-0000-0000-0000-000000000089"
turkey,182,"00000089-0000-0000-0000-000000000089"
united-kingdom,142,"00000089-0000-0000-0000-000000000089"
united-states,60,"00000089-0000-0000-0000-000000000089"
uzbekistan,187,"00000089-0000-0000-0000-000000000089"
colombia,42,"00000089-0000-0000-0000-000000000089"
cyprus,40,"00000089-0000-0000-0000-000000000089"
finland,64,"00000089-0000-0000-0000-000000000089"
mexico,117,"00000089-0000-0000-0000-000000000089"
nepal,126,"00000089-0000-0000-0000-000000000089"
tahiti,198,"00000089-0000-0000-0000-000000000089"
