"festival_id","ns_id"
1,3
2,11
3,21
4,23
5,67
6,8
7,23
8,67
9,46
10,55
11,51
12,52
13,55
14,55
15,55
16,55
17,55
18,62
19,21
20,55
21,55
22,55
23,55
24,55
25,23
26,25
27,32
28,5
29,46
30,46
31,12
32,21
33,20
34,46
35,48
36,52
37,55
38,48
39,3
40,5
41,5
42,5
43,5
44,5
45,5
46,10
47,23
48,18
49,52
50,18
51,21
52,21
53,21
54,21
55,21
56,21
57,23
58,23
59,23
60,23
61,23
62,3
63,18
64,18
65,23
66,18
67,11
68,32
69,41
70,39
71,39
72,17
73,55
74,10
75,28
76,17
77,32
78,32
79,32
80,43
81,60
82,60
83,43
84,32
85,32
86,40
87,39
88,17
89,23
90,21
91,23
92,44
93,20
94,18
95,32
96,23
97,25
98,25
99,25
100,32
101,32
102,32
103,32
104,32
105,32
106,21
107,52
108,17
109,46
110,46
111,47
112,32
113,47
114,47
115,55
116,55
117,55
118,55
119,55
120,55
121,55
122,55
123,18
124,48
125,5
126,46
127,55
128,10
129,48
130,47
131,41
132,23
133,60
134,17
135,56
136,32
137,28
138,32
139,55
140,10
141,21
142,32
143,52
144,55
145,56
146,18
147,23
148,32
149,23
150,47
151,47
152,17
153,8
154,21
155,21
156,32
157,48
158,21
159,10
160,8
161,3
162,10
163,21
164,67
165,31
166,23
167,4
168,45
169,10
170,10
171,52
172,25
173,5
174,21
175,62
176,32
177,17
178,8
179,48
180,41
181,18
182,41
183,21
184,18
185,23
186,61
187,41
188,25
189,41
190,21
192,10
193,51
194,25
195,25
196,46
197,55
198,47
199,30
200,30
201,30
202,28
203,23
204,60
205,43
206,17
207,53
208,28
209,31
210,21
211,53
212,32
213,53
214,8
215,8
216,52
217,52
218,13
219,29
220,3
221,9
222,9
223,17
224,17
225,47
226,47
227,10
228,41
229,66
230,10
231,16
232,62
233,10
234,46
235,3
236,5
237,5
238,10
239,23
240,23
241,23
242,25
243,32
244,46
245,46
246,32
247,47
248,47
249,48
250,56
251,62
252,46
253,18
254,51
255,46
256,46
257,32
258,46
259,67
260,21
261,32
262,47
263,32
264,23
265,47
266,48
267,48
268,20
269,25
270,48
271,9
272,21
273,67
274,48
275,32
276,42
277,42
278,42
279,14
280,21
