"id","address","name","email","url","contact","country_id","publish","url_validated","description","phone","state_mode","location","current_dates","next_dates","logo","cover","photos","youtube_id","director_name","categories","created_at","updated_at","lang"
330,"","21st Global Female Folk Dance Festival",charucastle@gmail.com,www.charucastlefoundation.in,"",81,false,false,"21st Global Female folk Dance Festival 

Organized by 
Charu Castle Foundation (CCF).
in support of CIOFF(R) INDIA (Official Partner of UNESCO) 

Invitation to International Folk Groups to participate in Five Days event.   

Only Female Folk Dance Groups from India and other countries.

Only Groups (Min. Members -8 & Max.15 Members )
 
Total Groups - 10 International and 20 National 


The Festival is member of CIOFF® INDIA 
to be organised in support of other organisations 


Also At festival – 
Parade 
Workshops 
Visual Art Exhibitions etc.

  
Interested Groups are requested to apply and other details at :  Charucastle@gmail.com   

Apply Soon : Limited Groups 


Dates Updates for submission - As till today India is under Lockdown - (Updates done on  6/6/2021)

Date to Apply between 
Updated Dates - 1st August - 30th August
 



Note : If in any unforeseen situation arises or after assessment of April / May conditions and experts advice , the festival may be organised Online.  

#Right of Admission Reserved 
#Selected of Groups on the basis of Selection Members 
# Festival reserve right to Admission to Festival and Participation .

","9871365608",offline,Delhi ,"","","","","","","","1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0",2024-09-05 07:28:45.881,,1
2,Av. Seeber 175,Festival International de Folklore de Argentina - Brinkmann,intendencia@brinkmann.gov.ar,www.cioffargentina.org.ar,"",9,true,false,"La ciudad de Brinkmann, en la Provincia de Córdoba, se sede del Festival de Argentina desde 1988. Organizado por la Municipalidad de la ciudad constituye una de las bases de la red del Festival Internacional de Folklore.
",+54 3562 480962,offline,BRINKMANN - Córdoba,"","","","","","","","1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0",2024-09-05 07:28:45.881,,1
14,"1352, rue J.B. Michaud",Mondial des Cultures de Drummondville,programmation@mondialdescultures.com,www.mondialdescultures.com,"",35,false,false,"Le Mondial des Cultures of Drummondville is one of the  biggest folklore festivals in the world. With 300,000 people attending annually, the festival remains a leader in its field. Situated in the center of Quebec, strategically place between Montreal, Quebec and Sherbrooke, Le Mondial des Cultures is an event to include when planning one’s tourist agenda in Quebec. A mosaic of renowned artists and the best folklore dancers from around the globe get together over this 11-day period to offer an unforgettable voyage that covers worldwide cultural traditions. 

Visit Le Mondial des Cultures website for information on the festival, past and present, and discover the multiple sites which are part of the attractions of this cultural, professional and exotic event. <http://www.mondialdescultures.com/>
",+1-819-472 1184,offline,"","","","","","","","","1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1",2024-09-05 07:28:45.881,,1
15,"2nd Floor,183 Kennedy Street",Folklorama,chidalgo-mazzei@folklorama.ca,www.folklorama.ca,"",35,true,false, Folklorama invites you to experience a celebration of cultural diversity at the world’s largest and longest-running multicultural festival of its kind!,+1-204-982 6210,offline,City of Winnipeg,"","","","","","","","1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1",2024-09-05 07:28:45.881,,1
20,B.P. 61307,Les Sacres du Folklore de Reims,bailla@sacresdufolklore.fr,www.sacresdufolklore.fr,"",66,false,false, ,"",offline,"","","","","","","","","1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1",2024-09-05 07:28:45.881,,1
329,"",Circuito de Festivales de Folklore en Chile FESTFOLK,mfierroy@gmail.com,"","",38,false,false,"Circuito de Festivales denominados FESTFOLK Chile que se realiza en distintas comunas de nuestro país y su objetivo principal es la articulación de festivales ya existentes en un período específico de tiempo.
Durante el año 2015 se incorporaron las siguientes comunas:
- Comuna de San Carlos.
- Comuna de Pemuco.
- Comuna de Graneros.
- Comuna de Til-Til.
- Comuna de Melipilla.
- Comuna de Macul.
- Comuna de Quilicura-
- Comuna de La Reina.
- Comuna de Peñalolén. 

- II Festival Internacional de Pemuco
- XI Festival Folklórico Violeta de San Carlos
- 11° Encuentro Nacional de Folklorer Infantil Juvenil
- 3° Festival Internacional de Folklore en Graneros
- 7° Encuentro Costumbrista de La reina
- 3° Festival Internacional de Folklore en Melipilla
- 2° Festival Internacional de Folklore en Til-Til 
- XVI Festival Internacional Costumbrista de   Peñalolén


","",offline,Chile,"","","","","","","","1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1",2024-09-05 07:28:45.881,,1
28,Espace de L'Europe,Festival de Montoire - Les cultures du Monde,festival.montoire@orange.fr,www.festival-montoire.com,"",66,true,false, ,+33-2-5485.3516,offline,"","","","","","","","","1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1",2024-09-05 07:28:45.881,,1
30,Aldegrevestr. 10-14,Internationale Jugendfestwoche auf der Wewelsburg,luenzb@kreis-paderborn.de,www.festwoche.de/de ,"",3,true,false,"",+49-5251-308 5120,offline,"","","","","","","","","1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0",2024-09-05 07:28:45.881,,1
369,"",Festival Internacional de Danza de San José Iturbide Gto,cererik@hotmail.com,"","",117,true,false,"Contribuir al desarrollo integral de ciudadanos a través del arte y la cultura bajo un sentido de orgullo y pertenencia hacia  nuestro espacio étnico y cultural, teniendo como premisa el respeto y el apego a las tradiciones y costumbres a través del arte es uno de los objetivos del ""Festival Internacional de Danza"" (FID), evento cultural folklórico organizado por la Compañía Municipal de Danza de San José Iturbide, agrupación agremiada a CIOFF México que en cordinación con él H. Ayuntamiento, la Secretaria de Turismo del Estado, la Casa de Cultura y el Consejo Turístico municipal, busca mostrar al público en general el Patrimonio Cultural Inmaterial de los pueblos del mundo, así como contribuir en el cumplimiento de los objetivos de CIOFF y la UNESCO en la diseminación y protección de las culturas tradicionales promoviendo el entendimiento mutuo y la paz,  por medio de eventos de gran calidad y actividades colaterales que engloban un festival integral para toda la ciudadanía. ","4191982593",offline,San José Iturbide ,"","","","","","","","1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1",2024-09-05 07:28:45.881,,1
371,Carsijska b.b.,International Folklore Festival 'Dani caske' Puracic,danicaske.puracic@gmail.com,http://kudpuracic.ba/    https://www.facebook.com/KUD-Puracic t,"",24,true,false,"International Folklore Festival ""Dani caske – Puracic "" (Days of Caska - Puracic) was founded in 2011, and hosts 10-12 groups from Bosnia and Herzegovina and abroad. The Festival consists of four activities:


-       Round table on the topics of safeguarding of ICH;

-       International concerts of folk dance groups in: Puracic, Lukavac and Tuzla;

-       Gastro festival of traditional food and presentation of old and handmade crafts from BiH and visiting countries;

-       A gala concert including a parade of folklore groups, performances on the main stage, and a showcase of traditional costumes.""
",+38761196215,offline,Puracic,"","","","","","","","1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1",2024-09-05 07:28:45.881,,1
342,Privada HIdalgo No. 7 Belen,"Festival Internacional del Folklore ""El mundo Danza en Tlaxcala""",ballet_tierrajoven@msn.com ,https://www.facebook.com/elmundodanzaentlax.of/ ,"",117,true,false,"El festival nace en el año 2012 fruto de la inquietud por enriquecer el arte y la cultura por medio de expresiones artísticas que estimulen, sensibilicen y constituyan un medio fundamental para conseguir reunir a pueblos y diversos grupos sociales para defender y preservar el patrimonio cultural inmaterial. 
El festival se lleva a cabo durante la primera semana de agosto. Dentro de las actividades que se desarrollan son: siembra del árbol, misa por un mundo de paz, exposición de artesanías, desfile, conversatorios, convivencia entre grupos y competencia deportiva. Siempre atendiendo en todo momento compaginar la actividad folklórica-artística, con la parte humana y de convivencia de los grupos entre sí, que es uno de los fines que persigue los festivales CIOFF.","",offline,"Apetatitlán, Tlaxcala","","","","","","","","1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1",2024-09-05 07:28:45.881,,1
64,ul. T. Kosciuszki 2,"Miedzynarodowy Festiwal Folkloru, Strzegom",sck@sck.strzegom.pl ,www.strzgom.pl/pl/strony/kultura/festival.htm,"",140,true,false,The Festival has been recognized as a CIOFF® International Festival,+48-74-649 4401,offline,"","","","","","","","","1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1",2024-09-05 07:28:45.881,,1
100,Apartado de Correos 176,FESTIVAL INTERNATIONAL DE FOLKLORE EN EL SEGURA-CIEZA,festival@corosydanzascieza.com,www.corosydanzascieza.com,"",59,true,false,"","",offline,CIEZA - MURCIA,"","","","","","","","1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0",2024-09-05 07:28:45.881,,1
72,Partizánska 290/17,International Folklore Festival  Myjava,cioffslovensko@gmail.com ,http://www.mffmyjava.sk,"",57,true,false,"International Folklore Festival Myjava is one of the biggest and most known festivals in Slovakia. The festival is focused on traditions from the west part of Slovakia. In the 2020 there will be the 61st unniversary of the festival. Each year the festival hosts at least 5 foreign groups from 5 different countries. The festival has many accompained happenings such as exhibitions,  performances for childres, performances in other cities at the west of the country traditional children playground and other. For more information visit a web page http://www.mffmyjava.sk/","",offline,Myjava,"","","","","","","","1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1",2024-09-05 07:28:45.881,,1
73,Kneza Koclja 9,International CIOFF Folklore Festival Folkart Maribor,alenka.klemencic@nd-mb.si,www.festival-lent.si,"",58,true,false,"",+386-2-229 4067,offline,Maribor,"","","","","","","","1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1",2024-09-05 07:28:45.881,,1
