"id","festival_id","category_id","created_at","updated_at"
1843,1,1,2024-09-05 22:24:25.003,
1844,1,10,2024-09-05 22:24:25.003,
1845,1,3,2024-09-05 22:24:25.003,
1846,1,2,2024-09-05 22:24:25.003,
1847,1,4,2024-09-05 22:24:25.003,
1848,1,12,2024-09-05 22:24:25.003,
1849,1,6,2024-09-05 22:24:25.003,
1850,1,7,2024-09-05 22:24:25.003,
1851,1,13,2024-09-05 22:24:25.003,
1852,1,14,2024-09-05 22:24:25.003,
1853,2,1,2024-09-05 22:24:25.003,
1854,2,3,2024-09-05 22:24:25.003,
1855,2,2,2024-09-05 22:24:25.003,
1856,2,4,2024-09-05 22:24:25.003,
1857,2,14,2024-09-05 22:24:25.003,
1858,3,1,2024-09-05 22:24:25.003,
1859,3,9,2024-09-05 22:24:25.003,
1860,3,11,2024-09-05 22:24:25.003,
1861,3,3,2024-09-05 22:24:25.003,
1862,3,2,2024-09-05 22:24:25.003,
1863,3,4,2024-09-05 22:24:25.003,
1864,3,7,2024-09-05 22:24:25.003,
1865,3,14,2024-09-05 22:24:25.003,
1866,4,1,2024-09-05 22:24:25.003,
1867,4,10,2024-09-05 22:24:25.003,
1868,4,3,2024-09-05 22:24:25.003,
1869,4,2,2024-09-05 22:24:25.003,
1870,4,4,2024-09-05 22:24:25.003,
1871,4,5,2024-09-05 22:24:25.003,
1872,4,12,2024-09-05 22:24:25.003,
1873,4,15,2024-09-05 22:24:25.003,
1874,4,16,2024-09-05 22:24:25.003,
1875,5,1,2024-09-05 22:24:25.003,
1876,5,10,2024-09-05 22:24:25.003,
1877,5,2,2024-09-05 22:24:25.003,
1878,5,4,2024-09-05 22:24:25.003,
1879,5,12,2024-09-05 22:24:25.003,
1880,5,6,2024-09-05 22:24:25.003,
1881,5,13,2024-09-05 22:24:25.003,
1882,5,14,2024-09-05 22:24:25.003,
1883,5,15,2024-09-05 22:24:25.003,
1884,5,16,2024-09-05 22:24:25.003,
1885,6,1,2024-09-05 22:24:25.003,
1886,6,10,2024-09-05 22:24:25.003,
1887,6,3,2024-09-05 22:24:25.003,
1888,6,2,2024-09-05 22:24:25.003,
1889,6,4,2024-09-05 22:24:25.003,
1890,6,12,2024-09-05 22:24:25.003,
1891,6,6,2024-09-05 22:24:25.003,
1892,6,15,2024-09-05 22:24:25.003,
1893,7,1,2024-09-05 22:24:25.003,
1894,7,10,2024-09-05 22:24:25.003,
1895,7,3,2024-09-05 22:24:25.003,
1896,7,2,2024-09-05 22:24:25.003,
1897,7,4,2024-09-05 22:24:25.003,
1898,7,5,2024-09-05 22:24:25.003,
1899,7,12,2024-09-05 22:24:25.003,
1900,7,6,2024-09-05 22:24:25.003,
1901,7,13,2024-09-05 22:24:25.003,
1902,7,14,2024-09-05 22:24:25.003,
1903,7,15,2024-09-05 22:24:25.003,
1904,7,16,2024-09-05 22:24:25.003,
