"no_report","no_country","year","place_meeting","date_meeting","number","position1","name1","position2","name2","position3","name3","position4","name4","position5","name5","position6","name6","position7","name7","position8","name8","position9","name9","position10","name10","position11","name11","position12","name12","nextyear","comment","nbfestivals","nbassociations","nbgroups","nbmembers","other","nbothers","festivals","associations","groups","members","unesco","place","date","president","secretary","dateC","dateM"
10,67,2014,Les Paccots / Fribourg,"04 October 2014",11,President a/interim,Cyrill RENZ (Not member of the Board),"","",Repr. RFI Festival,Jean-Olivier VÖRÖS,Repr. CIME Festival,Eric VUIGNIER,Repr. IVZ Festival,Rita WEINGAND,Treasurer,Albert POCHON,"","","","","","","","","","","","",2016,"For the administrative period 2014-2015, the following persons have been elected:

> President ad interim:  Cyrill Renz for national and internationales relations.
> National Board of 5 members for internal affairs and development.

On October 10th 2014, the FIFO Festival of Martigny suspended his representation in the national board. ",4,9,17,21,"",,1,1,1,1,1,Cormagens,"6th October 2014","Cyrill RENZ, President ad interim","",2011-09-04 19:57:21.753,2015-02-16 15:34:37.410
11,30,2010,Braeunlingen,"17. - 19.09.2010",24,Vice President,Mr. Klaus Hohmeier,Secretary General,Mr. Joerg Luebbe,Assesor,Mr. Hans Joachim Wiesenmueller,"","","","","","","","","","","","","","","","","","",2012,"",8,11,38,5,"",,1,1,1,1,1,Heppenheim,"15.09.2011",Norbert Mueller,Joerg Luebbe,2011-09-15 08:16:46.303,2011-09-15 08:16:46.303
12,30,2008,Schlitz,"20. - 21.09.2008",32,President,Mr. Norbert Mueller,Vice President ,Mr. Klaus Hohmeier,Treasurer,Ms. Iris Werner,Assesor,Mr. Hans Joachim Wiesenmueller,Youth Representative,Ms. Martina Fey,"","","","","","","","","","","","","","",2010,"",2,19,38,11,"",,1,1,1,1,,Heppenheim,"15.09.2011",Norbert Mueller,Joerg Luebbe,2011-09-15 08:29:49.370,2011-09-15 08:29:49.370
13,54,2011,Lublin,"09-11.01.2009",33,president,Jerzy Chmiel,vice-president,Jan Losakiewicz,vice-president,Gerard Nowak,secretary,Norbert pozniewski,treasurer,Leszek Choluj,member,Jaroslaw Wojciechowski,auditors chairman,Henryk Wolff-Zdzienicki,auditor,Antoni Malczak,auditor,Stanislaw Leszczynski,"","","","","","",2013,"",17,1,110,136,cultural instituyions,10,,,,,,Warszawa,"17.09.2012",Jerzy Chmiel,"",2011-09-16 12:59:22.637,2012-09-17 13:08:49.690
14,54,2011,Lublin,"09-11.01.2009",33,president,Jerzy Chmiel,vice-president,Jan Losakiewicz,vice-president,Gerard Nowak,secretary,Norbert pozniewski,treasurer,Leszek Choluj,member,Jaroslaw Wojciechowski,auditors chairman,Henryk Wolff-Zdzienicki,auditor,Antoni Malczak,auditor,Stanislaw Leszczynski,"","","","","","",2013,Date of the current By-laws: 10.03.1992.,17,1,110,136,cultural instituyions,11,1,1,1,1,1,Warszawa,"16.09.2011",Jerzy Chmiel,Norbert Pozniewski,2011-09-16 13:01:26.413,2011-09-16 13:01:26.413
15,74,2011,"Milwaukee, Wisconsin & Special Virtual","18/10/10",5,President,"Alexander P. Durtka, Jr.",Vice President,Rolf Kaufman,Secretary/Treasurer,Sharon Rae Landergott Durtka,Director,Julián Hernández,Director,Mary Stringfield Sloan,Youth Representative,Vacant,"","","","","","","","","","","","",2014,"2010 Election was held during the June 20 2010 meeting.  This meeting was followed by a virtual meeting to confirm the election.  (Due to updating of By Laws.)",7,0,14,,"",,1,1,1,,,USA,"16/09/11","Alexander P. Durtka, Jr.",Sharon Rae Landergott Durtka,2011-09-17 10:45:39.303,2011-09-17 10:45:39.303
16,27,2011,Saint Malo,"16/04/2011",100,Présidente,Anne-Marie Ciolfi,Secrétaire Général,Philippe Beaussant,Secrétaire Général adjointe,Aurélie Pascal,Vice-président,Bernard Criner,Vice-président,Jérôme Le Coutaller,Trésorier,Jean-François Proux,Membre du CA,Marie-Agnès Jacque,Membre du CA,Emmanuel Landrieau ,Membre du CA,Willy Wenger ,Membre du CA,Marie-Christine Moinard,Membre du CA,Patrick Schepens,"","",2012,"",31,4,15,4,"",,1,1,1,1,1,France,"17/09/2011",Anne-Marie Ciolfi,Philippe Baussant,2011-09-17 12:48:21.527,2011-09-17 13:33:50.507
17,41,2011,Mersch,"March 8, 2011",29,President,Susanne Kramer,Secretary,Micheline Bley,Treasurer,Vincent Laguerre,Member,Tamy Feller,"","","","","","","","","","","","","","","","",2014,"",1,1,1,,"",,1,1,1,1,,Mersch,"8.03.2011",Susanne Kramer,Micheline Bley,2011-09-20 13:23:20.637,2011-09-20 13:23:20.637
18,37,2010,Capri (NA),"May 6 – May 9, 2010",31,President,Sergio PIEMONTI,Vice-president,Domenico CANINO,Secretary,Francesco MALLOZZI,Treasurer,Sistino TAMAGNINI,Council member,Vincenzo MELFI,Auditors (president),Umberto FERRARI,Arbiters (president),Nicola ORLANDO ,"","","","","","","","","","",2014,"26 Folk Art Groups are ""associated"" with the National Section
""Relation with the UNESCO Commission"" refers to the Italian National UNESCO Commission",24,,,,"",,1,,,,1,Gorizia,"Sept. 25, 2011",Sergio Piemonti,Francesco Mallozzi,2011-09-25 14:50:26.510,2011-11-25 17:20:51.450
19,30,2011,Heppenheim,"16. - 18.09.2011",46,Youth Representative,Philipp Mueller,"","","","","","","","","","","","","","","","","","","","","","",2012,"As the Youth Section of CIOFF Germany was recreated in 2011, the new representative was elected to the Board of CIOFF Germany",2,20,38,12,"",,1,1,1,1,1,Heppenheim,"26.09.2011",Norbert Mueller,Joerg Luebbe,2011-09-26 08:11:45.710,2011-09-26 08:11:45.710
20,11,2014,Sofia,"22.02.2014",117,Emil Pavlov,President,Stiliana Yorgova ,General Secretary,Stiliana Yorgova ,Chairman Festival Commission,Yoanna Nizamska,Chairman CIOFF Youth Bulgaria,Ivan Todorov,Chairman Artistic commission,Elena Baleva,Chairman Legal commission,Silvia Pavlova,Chairman Financial commission,Marian Vassilev,Sector ,"29 Coordinators","","","","","","","",2017,"",9,2,250,20,"",,1,1,1,1,1,Sofia,"22.02.2014",Emil Pavlov,Stiliana Yorgova,2011-10-05 11:14:47.520,2022-04-15 10:41:21.857
21,38,2011,National Children’s Castle Seminar Room,"29,Nov,2010",5,President,EMIKO HORI,Director,YASUNOBU KAMEI,Director,HIROKI TANIGUCHI,Director,HIDEKI KANESHIMA,Director,SHINJI ONO,"","","","","","","","","","","","","","",2013,"",0,3,7,5,"",0,,,,,,TOKYO,"4,Oct,2012",EMIO HORI,SHINJI ONO,2011-10-06 02:04:06.230,2011-10-06 02:04:06.230
22,70,2011,ISTANBUL,"20 February 2011",28,President,Savas TUGSAVUL,Sec.General/Vice President,Muammer ARSLAN,Secretary,Esra Arslan OZORNEK,Treasurer,Semih USUN,Ali ULU,Member of the Festival Comission.,Merih GURCIHAN,Member of the Organization Commission,Ustun GURTUNA,Member of the Art Commission,"","","","","","","","","","",2013,"",6,6,12,28,"",,1,1,1,1,1,ISTANBUL,"06/10/2011",Savas TUGSAVUL,Muammer ARSLAN,2011-10-06 10:34:18.797,2014-11-06 17:26:59.410
